date_scraping,channel_name,channel_subscribers_number,title_video,hashtags_video,visualizations_video,date_upload_video,day_of_week_upload_video,converted_date_upload_video,likes_video,count_comments,username,comment_text,comment_text_and_emojis_used,date_comment,likes_comment,converted_date_comment,day_of_week_comment
29,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Axel Ramon,Los de El universal viendo el video con detalle para comer una semana más ,"['Los de El universal viendo el video con detalle para comer una semana más ', ['😂', '😂', '😂', '😂', '😂']]",9 days ago (edited),1400,2023-02-02 19:11:24,Thursday
30,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Gary GR,"""Tenías tu juego de química  Mi Alegria"" jajajaja","['""Tenías tu juego de química  Mi Alegria"" jajajaja', []]",6 days ago,51,2023-02-05 19:11:24,Sunday
31,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Edwin González,"Excelente entrevista, Lord Molécula. Me encantó ","['Excelente entrevista, Lord Molécula. Me encantó ', ['👏', '👏', '👏', '👏']]",6 days ago,175,2023-02-05 19:11:24,Sunday
32,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Alexis Solis,Que no se pierda la costumbre de decir que luisito fue la mas apretada jajaja,"['Que no se pierda la costumbre de decir que luisito fue la mas apretada jajaja', []]",3 days ago,7,2023-02-08 19:11:24,Wednesday
33,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Edgar Hdz.,"Preguntas que todo el pueblo quería saber y que el Escorpion tuvo miedo de hacer:
Como será tu vestido
Donde será la boda
Donde será la luna de miel","['Preguntas que todo el pueblo quería saber y que el Escorpion tuvo miedo de hacer:\nComo será tu vestido\nDonde será la boda\nDonde será la luna de miel', []]",6 days ago (edited),41,2023-02-05 19:11:24,Sunday
34,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Jonathan Martz Producer,El escorpión Tiene 4 millones de Razones para hacerle la entrevista a sheimbaum,"['El escorpión Tiene 4 millones de Razones para hacerle la entrevista a sheimbaum', []]",3 days ago,4,2023-02-08 19:11:24,Wednesday
35,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Walter Sadrac,"Que no se pierda la bonita tradición, de decir que luisito comunica fue la invitada  más apretada ","['Que no se pierda la bonita tradición, de decir que luisito comunica fue la invitada  más apretada ', ['💅']]",9 days ago,635,2023-02-02 19:11:24,Thursday
36,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Churruca's show,Luisito sigue siendo la más apretada que se ha subido.,"['Luisito sigue siendo la más apretada que se ha subido.', []]",7 days ago,42,2023-02-04 19:11:24,Saturday
37,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Luis Angel,"Jajajajaja En la plaza de santo domingo falsifican documentos, como títulos, Ine, etc etc... y el Escorpion hablando sobre comprar una tesis con Claudia.  ","['Jajajajaja En la plaza de santo domingo falsifican documentos, como títulos, Ine, etc etc... y el Escorpion hablando sobre comprar una tesis con Claudia.  ', ['🤣', '🤣', '😂']]",1 day ago,2,2023-02-10 19:11:24,Friday
38,2023-02-11 05:00:34,PelucheEn ElEstuche,9.26M subscribers,CLAUDIA SHEINBAUM #alVolante Edición “los presidenciables” capítulo 1 sin censura!,,1.4M views,9 days ago,Thursday,2023-02-02 19:11:24,57K,"8,504",Alberto Mondragon,"Después de ver un par de veces el vídeo sigo preguntándome a mi mismo...dónde quedó el escorpión que decía que el preguntaba sin miedo a nada, ese que era nuestra voz, que tenía la facultad y/o facilidad de decirle por nosotros a todos estos personajes (como a Claudia) lo mal que hacen su chamba? ¢UL0o0o0o...me parece que esta entrevista es meramente por razones de $ e interés, en fin, lo único que me queda claro es que...sea como sea Luisito comunica fue, es y siempre será la  diva más apretada!!!","['Después de ver un par de veces el vídeo sigo preguntándome a mi mismo...dónde quedó el escorpión que decía que el preguntaba sin miedo a nada, ese que era nuestra voz, que tenía la facultad y/o facilidad de decirle por nosotros a todos estos personajes (como a Claudia) lo mal que hacen su chamba? ¢UL0o0o0o...me parece que esta entrevista es meramente por razones de $ e interés, en fin, lo único que me queda claro es que...sea como sea Luisito comunica fue, es y siempre será la  diva más apretada!!!', ['🤌🏻']]",4 days ago,50,2023-02-07 19:11:24,Tuesday
